theme_header,theme_slug,language,evidence
Overall PAI Score,overall_pai_score,en,Official PAI table header reviewed in the archived source pages.
T1 - Poverty Free and Enhanced Livelihoods Panchayat,t1_poverty_free_and_enhanced_livelihoods_panchayat,en,Official PAI table header reviewed in the archived source pages.
T2 - Healthy Panchayat,t2_healthy_panchayat,en,Official PAI table header reviewed in the archived source pages.
T3 - Child Friendly Panchayat,t3_child_friendly_panchayat,en,Official PAI table header reviewed in the archived source pages.
T4 - Water Sufficient Panchayat,t4_water_sufficient_panchayat,en,Official PAI table header reviewed in the archived source pages.
T5 - Clean and Green Panchayat,t5_clean_and_green_panchayat,en,Official PAI table header reviewed in the archived source pages.
T6 - Self-sufficient Infrastructure in Panchayat,t6_self_sufficient_infrastructure_in_panchayat,en,Official PAI table header reviewed in the archived source pages.
T7 - Socially Just and Socially Secured Panchayat,t7_socially_just_and_socially_secured_panchayat,en,Official PAI table header reviewed in the archived source pages.
T8 - Panchayat with Good Governance,t8_panchayat_with_good_governance,en,Official PAI table header reviewed in the archived source pages.
T9 - Women Friendly Panchayat,t9_women_friendly_panchayat,en,Official PAI table header reviewed in the archived source pages.
समग्र पी. ए. आई. स्कोर,overall_pai_score,hi,Official Hindi PAI table header reviewed in 162 fully Hindi and 1813 partly Hindi GP rows.
टी1-गरीबी मुक्त और संवर्धित आजीविका पंचायत,t1_poverty_free_and_enhanced_livelihoods_panchayat,hi,Official Hindi PAI table header reviewed in 1975 GP rows.
टी2-स्वस्थ पंचायत,t2_healthy_panchayat,hi,Official Hindi PAI table header reviewed in 1975 GP rows.
टी3-बाल अनुकूल पंचायत,t3_child_friendly_panchayat,hi,Official Hindi PAI table header reviewed in 1975 GP rows.
टी4-जल पर्याप्त पंचायत,t4_water_sufficient_panchayat,hi,Official Hindi PAI table header reviewed in 1975 GP rows.
टी5-स्वच्छ और हरित पंचायत,t5_clean_and_green_panchayat,hi,Official Hindi PAI table header reviewed in 1975 GP rows.
टी6-पंचायत में आत्मनिर्भर बुनियादी ढांचा,t6_self_sufficient_infrastructure_in_panchayat,hi,Official Hindi PAI table header reviewed in 1975 GP rows.
टी7-सामाजिक रूप से न्यायपूर्ण और सामाजिक रूप से सुरक्षित पंचायत,t7_socially_just_and_socially_secured_panchayat,hi,Official Hindi PAI table header reviewed in 162 GP rows.
टी8-सुशासन के साथ पंचायत,t8_panchayat_with_good_governance,hi,Official Hindi PAI table header reviewed in 162 GP rows.
टी9-महिला अनुकूल पंचायत,t9_women_friendly_panchayat,hi,Official Hindi PAI table header reviewed in 162 GP rows.
